"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"При нажатии на вопрос - открывается ответ","314","Проверка блока Вопросы о важном","tests","2026-04-19","passed","2026-04-19","TestFAQ","test_faq","",""
"","274","Проверка перехода на главную страницу по логотипу 'Самокат'","tests","2026-04-19","passed","2026-04-19","TestLogo","test_logo","",""
"При нажатии на вопрос - открывается ответ","821","Проверка блока Вопросы о важном","tests","2026-04-19","passed","2026-04-19","TestFAQ","test_faq","",""
"","2177","Проверка оформления заказа самоката","tests","2026-04-19","passed","2026-04-19","TestScooterOrder","test_order","",""
"При нажатии на вопрос - открывается ответ","785","Проверка блока Вопросы о важном","tests","2026-04-19","passed","2026-04-19","TestFAQ","test_faq","",""
"При нажатии на вопрос - открывается ответ","814","Проверка блока Вопросы о важном","tests","2026-04-19","passed","2026-04-19","TestFAQ","test_faq","",""
"","2066","Проверка оформления заказа самоката","tests","2026-04-19","passed","2026-04-19","TestScooterOrder","test_order","",""
"","685","Проверка перехода на страницу 'Дзен' по логотипу 'Яндекс'","tests","2026-04-19","passed","2026-04-19","TestLogo","test_logo","",""
"При нажатии на вопрос - открывается ответ","814","Проверка блока Вопросы о важном","tests","2026-04-19","passed","2026-04-19","TestFAQ","test_faq","",""
"При нажатии на вопрос - открывается ответ","805","Проверка блока Вопросы о важном","tests","2026-04-19","passed","2026-04-19","TestFAQ","test_faq","",""
"При нажатии на вопрос - открывается ответ","793","Проверка блока Вопросы о важном","tests","2026-04-19","passed","2026-04-19","TestFAQ","test_faq","",""
"При нажатии на вопрос - открывается ответ","815","Проверка блока Вопросы о важном","tests","2026-04-19","passed","2026-04-19","TestFAQ","test_faq","",""
